Source_ID,Source_Type,Target_ID,Target_Type,Rel_Type,Weight,As_Of
SYS-TM,System,DD-PAYMT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-PAY,System,DD-PAYMT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-PAY,System,DD-TXN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CARD,System,DD-TXN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CARD,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LOS,System,DD-CREDIT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LOS,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CREDIT,System,DD-CREDIT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CREDIT,System,DD-MODEL,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LAKE,System,DD-REF,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LAKE,System,DD-TXN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LAKE,System,DD-CREDIT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LAKE,System,DD-FIN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-LAKE,System,DD-MODEL,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-REGRPT,System,DD-FIN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-REGRPT,System,DD-CREDIT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-REGRPT,System,DD-TRADE,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CRM,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-TRADE,System,DD-TRADE,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-GL,System,DD-FIN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-IAM,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-IAM,System,DD-REF,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-AIP,System,DD-MODEL,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-AIP,System,DD-CREDIT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-AIP,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
PRD-CURR,Product,BU-RETAIL,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-SAV,Product,BU-RETAIL,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-MORT,Product,BU-RETAIL,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-PLOAN,Product,BU-RETAIL,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-CARD,Product,BU-RETAIL,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-BLOAN,Product,BU-COMM,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-FX,Product,BU-MARKETS,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-DERIV,Product,BU-MARKETS,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PRD-INVEST,Product,BU-WEALTH,BusinessUnit,PRODUCT_OWNED_BY_UNIT,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,SYS-KYC,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,SYS-CRM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,SYS-CORE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,SYS-IAM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,PRD-CURR,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,PRD-SAV,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-ONBOARD,BusinessProcess,PRD-CARD,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,SYS-PAY,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,SYS-SANCT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,SYS-TM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,SYS-CORE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,PRD-CURR,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-PAYMENTS,BusinessProcess,PRD-CARD,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-LENDING,BusinessProcess,SYS-LOS,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-LENDING,BusinessProcess,SYS-CREDIT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-LENDING,BusinessProcess,SYS-CORE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-LENDING,BusinessProcess,SYS-AIP,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-LENDING,BusinessProcess,PRD-MORT,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-LENDING,BusinessProcess,PRD-PLOAN,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-LENDING,BusinessProcess,PRD-BLOAN,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-TRADING,BusinessProcess,SYS-TRADE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-TRADING,BusinessProcess,SYS-REGRPT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-TRADING,BusinessProcess,SYS-GL,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-TRADING,BusinessProcess,PRD-FX,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-TRADING,BusinessProcess,PRD-DERIV,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-REGRPT,BusinessProcess,SYS-REGRPT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-REGRPT,BusinessProcess,SYS-LAKE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-REGRPT,BusinessProcess,SYS-GL,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-FRAUD,BusinessProcess,SYS-TM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-FRAUD,BusinessProcess,SYS-SANCT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-FRAUD,BusinessProcess,SYS-CARD,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-FRAUD,BusinessProcess,PRD-CARD,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-FRAUD,BusinessProcess,PRD-CURR,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-SERVICE,BusinessProcess,SYS-CRM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-SERVICE,BusinessProcess,SYS-CORE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-SERVICE,BusinessProcess,SYS-IAM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-SERVICE,BusinessProcess,PRD-CURR,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-SERVICE,BusinessProcess,PRD-SAV,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-DATAGOV,BusinessProcess,SYS-LAKE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-DATAGOV,BusinessProcess,SYS-IAM,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-AILIFE,BusinessProcess,SYS-AIP,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-AILIFE,BusinessProcess,SYS-CREDIT,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-AILIFE,BusinessProcess,SYS-LAKE,System,PROCESS_USES_SYSTEM,1.0,2026-06-25
PR-AILIFE,BusinessProcess,PRD-MORT,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
PR-AILIFE,BusinessProcess,PRD-PLOAN,Product,PROCESS_SUPPORTS_PRODUCT,1.0,2026-06-25
CTL-CDD-1,Control,SYS-KYC,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-CDD-1,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-CDD-1,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-CDD-1,Control,EVD-CTL-CDD-1-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-1-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-1,Control,EVD-CTL-CDD-1-EV-CLASS,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-1-EV-CLASS,Evidence,TEC-PURVIEW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-1,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-CDD-2,Control,SYS-KYC,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-CDD-2,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-CDD-2,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-CDD-2,Control,EVD-CTL-CDD-2-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-2-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-2,Control,EVD-CTL-CDD-2-EV-CLASS,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-2-EV-CLASS,Evidence,TEC-PURVIEW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-2,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-CDD-3,Control,SYS-KYC,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-CDD-3,Control,SYS-TM,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-CDD-3,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-CDD-3,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-CDD-3,Control,EVD-CTL-CDD-3-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-3-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-3,Control,EVD-CTL-CDD-3-EV-CLASS,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-CDD-3-EV-CLASS,Evidence,TEC-PURVIEW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-CDD-3,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-CDD-3,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-CDD-3,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-SAN-1,Control,SYS-SANCT,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-SAN-1,Control,SYS-PAY,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-SAN-1,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-SAN-1,Control,CAP-SANCT,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-SAN-1,Control,EVD-CTL-SAN-1-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-SAN-1-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-SAN-1,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-SAN-1,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-SAN-2,Control,SYS-SANCT,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-SAN-2,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-SAN-2,Control,CAP-SANCT,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-SAN-2,Control,EVD-CTL-SAN-2-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-SAN-2-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-SAN-2,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-SAN-2,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-1,Control,SYS-TM,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-TM-1,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-TM-1,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-TM-1,Control,EVD-CTL-TM-1-EV-SAR,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-1-EV-SAR,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-1,Control,EVD-CTL-TM-1-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-1-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-1,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-1,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-2,Control,SYS-TM,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-TM-2,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-TM-2,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-TM-2,Control,EVD-CTL-TM-2-EV-SAR,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-2-EV-SAR,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-2,Control,EVD-CTL-TM-2-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-2-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-2,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-2,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-3,Control,SYS-TM,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-TM-3,Control,RK-FINCRIME,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-TM-3,Control,CAP-FC,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-TM-3,Control,EVD-CTL-TM-3-EV-SAR,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-3-EV-SAR,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-3,Control,EVD-CTL-TM-3-EV-AUDIT,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-TM-3-EV-AUDIT,Evidence,TEC-FABRIC,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-TM-3,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-TM-3,Control,PR-FRAUD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-1,Control,SYS-CORE,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-OR-1,Control,SYS-PAY,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-OR-1,Control,RK-OPRES,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-OR-1,Control,CAP-RES,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-OR-1,Control,EVD-CTL-OR-1-EV-BCP,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-OR-1-EV-BCP,Evidence,TEC-SERVICENOW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-OR-1,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-1,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-1,Control,PR-LENDING,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-1,Control,PR-SERVICE,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-2,Control,SYS-CORE,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-OR-2,Control,RK-OPRES,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-OR-2,Control,CAP-RES,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-OR-2,Control,EVD-CTL-OR-2-EV-BCP,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-OR-2-EV-BCP,Evidence,TEC-SERVICENOW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-OR-2,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-2,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-2,Control,PR-LENDING,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-2,Control,PR-SERVICE,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,SYS-LAKE,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-OR-3,Control,SYS-CORE,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-OR-3,Control,RK-OPRES,Risk,CONTROL_MITIGATES_RISK,1.0,2026-06-25
CTL-OR-3,Control,CAP-RES,Capability,CONTROL_REALIZES_CAPABILITY,1.0,2026-06-25
CTL-OR-3,Control,EVD-CTL-OR-3-EV-BCP,Evidence,CONTROL_EVIDENCED_BY,1.0,2026-06-25
EVD-CTL-OR-3-EV-BCP,Evidence,TEC-SERVICENOW,Technology,EVIDENCE_PRODUCED_BY_TECHNOLOGY,1.0,2026-06-25
CTL-OR-3,Control,PR-ONBOARD,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-PAYMENTS,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-LENDING,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-REGRPT,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-SERVICE,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-DATAGOV,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-OR-3,Control,PR-AILIFE,BusinessProcess,CONTROL_OPERATES_IN_PROCESS,1.0,2026-06-25
CTL-IC-1,Control,SYS-IAM,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
CTL-IC-1,Control,SYS-LAKE,System,CONTROL_IMPLEMENTED_IN_SYSTEM,1.0,2026-06-25
