Gap_ID,Change_ID,Obligation_ID,Control_ID,Capability_ID,Severity,Maturity_Shortfall,Is_Evidence_Gap,Affected_Systems,Affected_Processes,Affected_Products,Affected_Data_Domains,As_Of
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,CHG-NISTAIRMF,OBL-NISTAIRMF-01,CTL-AI-1,CAP-AIG,Low,0,True,1,2,3,1,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,CHG-NISTAIRMF,OBL-NISTAIRMF-01,CTL-AI-2,CAP-AIG,Low,1,False,1,2,3,1,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,CHG-NISTAIRMF,OBL-NISTAIRMF-01,CTL-AI-3,CAP-AIG,Critical,4,False,2,4,3,1,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,CHG-NISTAIRMF,OBL-NISTAIRMF-02,CTL-MR-1,CAP-MRM,Medium,2,False,1,2,3,2,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,CHG-NISTAIRMF,OBL-NISTAIRMF-02,CTL-MR-2,CAP-MRM,Low,1,False,2,2,3,2,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,CHG-NISTAIRMF,OBL-NISTAIRMF-02,CTL-MR-3,CAP-MRM,High,3,False,1,2,3,2,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,CHG-NISTAIRMF,OBL-NISTAIRMF-03,CTL-TR-1,CAP-TRACE,High,3,False,2,4,3,1,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,CHG-NISTAIRMF,OBL-NISTAIRMF-03,CTL-TR-2,CAP-TRACE,Medium,2,False,1,2,3,1,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,CHG-DORA,OBL-DORA-01,CTL-OR-1,CAP-RES,High,2,False,2,4,6,1,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,CHG-DORA,OBL-DORA-01,CTL-OR-2,CAP-RES,High,2,False,1,4,6,1,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,CHG-DORA,OBL-DORA-01,CTL-OR-3,CAP-RES,Critical,3,False,2,7,6,1,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,CHG-DORA,OBL-DORA-02,CTL-IC-1,CAP-INC,High,2,False,2,5,5,1,2026-06-25
GAP-OBL-DORA-02-CTL-IC-2,CHG-DORA,OBL-DORA-02,CTL-IC-2,CAP-INC,Critical,3,False,1,3,3,1,2026-06-25
GAP-OBL-DORA-02-CTL-IC-3,CHG-DORA,OBL-DORA-02,CTL-IC-3,CAP-INC,High,2,False,1,3,3,1,2026-06-25
GAP-OBL-DORA-03-CTL-IC-1,CHG-DORA,OBL-DORA-03,CTL-IC-1,CAP-INC,Medium,2,False,2,5,5,2,2026-06-25
GAP-OBL-DORA-03-CTL-IC-2,CHG-DORA,OBL-DORA-03,CTL-IC-2,CAP-INC,High,3,False,1,3,3,2,2026-06-25
GAP-OBL-DORA-03-CTL-IC-3,CHG-DORA,OBL-DORA-03,CTL-IC-3,CAP-INC,Medium,2,False,1,3,3,2,2026-06-25
GAP-OBL-DORA-03-CTL-CY-1,CHG-DORA,OBL-DORA-03,CTL-CY-1,CAP-CYBER,Medium,2,False,2,5,5,2,2026-06-25
GAP-OBL-DORA-03-CTL-CY-2,CHG-DORA,OBL-DORA-03,CTL-CY-2,CAP-CYBER,Medium,2,False,1,3,3,2,2026-06-25
GAP-OBL-DORA-04-CTL-TP-1,CHG-DORA,OBL-DORA-04,CTL-TP-1,CAP-TPR,Medium,2,False,1,3,2,1,2026-06-25
GAP-OBL-DORA-04-CTL-TP-2,CHG-DORA,OBL-DORA-04,CTL-TP-2,CAP-TPR,Low,1,False,1,3,2,1,2026-06-25
GAP-OBL-BASEL-02-CTL-DQ-1,CHG-BASEL,OBL-BASEL-02,CTL-DQ-1,CAP-DQ,Medium,2,False,1,3,2,2,2026-06-25
GAP-OBL-BASEL-02-CTL-DQ-2,CHG-BASEL,OBL-BASEL-02,CTL-DQ-2,CAP-DQ,Low,1,False,1,3,2,2,2026-06-25
GAP-OBL-BASEL-03-CTL-RP-1-EV,CHG-BASEL,OBL-BASEL-03,CTL-RP-1,CAP-REP,Low,0,True,1,2,2,2,2026-06-25
GAP-OBL-BASEL-03-CTL-RP-2-EV,CHG-BASEL,OBL-BASEL-03,CTL-RP-2,CAP-REP,Low,0,True,2,2,2,2,2026-06-25
GAP-OBL-BCBS239-01-CTL-DQ-1,CHG-BCBS239,OBL-BCBS239-01,CTL-DQ-1,CAP-DQ,High,3,False,1,3,2,2,2026-06-25
GAP-OBL-BCBS239-01-CTL-DQ-2,CHG-BCBS239,OBL-BCBS239-01,CTL-DQ-2,CAP-DQ,Medium,2,False,1,3,2,2,2026-06-25
GAP-OBL-BCBS239-02-CTL-LIN-1,CHG-BCBS239,OBL-BCBS239-02,CTL-LIN-1,CAP-LIN,Medium,2,False,2,4,4,3,2026-06-25
GAP-OBL-BCBS239-02-CTL-LIN-2,CHG-BCBS239,OBL-BCBS239-02,CTL-LIN-2,CAP-LIN,High,3,False,2,2,2,3,2026-06-25
GAP-OBL-BCBS239-03-CTL-MD-1,CHG-BCBS239,OBL-BCBS239-03,CTL-MD-1,CAP-MDM,High,3,False,1,3,2,1,2026-06-25
GAP-OBL-BCBS239-03-CTL-MD-2,CHG-BCBS239,OBL-BCBS239-03,CTL-MD-2,CAP-MDM,High,3,False,1,3,2,1,2026-06-25
GAP-OBL-GDPR-01-CTL-PR-1,CHG-GDPR,OBL-GDPR-01,CTL-PR-1,CAP-PII,Low,1,False,2,3,3,1,2026-06-25
GAP-OBL-GDPR-01-CTL-PR-2,CHG-GDPR,OBL-GDPR-01,CTL-PR-2,CAP-PII,High,3,False,2,4,6,1,2026-06-25
GAP-OBL-GDPR-01-CTL-PR-3,CHG-GDPR,OBL-GDPR-01,CTL-PR-3,CAP-PII,Low,1,False,1,3,3,1,2026-06-25
GAP-OBL-GDPR-02-CTL-PR-1-EV,CHG-GDPR,OBL-GDPR-02,CTL-PR-1,CAP-PII,Low,0,True,2,3,3,1,2026-06-25
GAP-OBL-GDPR-02-CTL-PR-2,CHG-GDPR,OBL-GDPR-02,CTL-PR-2,CAP-PII,Medium,2,False,2,4,6,1,2026-06-25
GAP-OBL-GDPR-03-CTL-PR-1,CHG-GDPR,OBL-GDPR-03,CTL-PR-1,CAP-PII,Medium,1,False,2,3,3,1,2026-06-25
GAP-OBL-GDPR-03-CTL-PR-2,CHG-GDPR,OBL-GDPR-03,CTL-PR-2,CAP-PII,Critical,3,False,2,4,6,1,2026-06-25
GAP-OBL-GDPR-03-CTL-PR-3,CHG-GDPR,OBL-GDPR-03,CTL-PR-3,CAP-PII,Medium,1,False,1,3,3,1,2026-06-25
GAP-OBL-PSD2-01-CTL-SCA-2,CHG-PSD2,OBL-PSD2-01,CTL-SCA-2,CAP-AUTH,Critical,4,False,2,2,2,2,2026-06-25
GAP-OBL-PSD2-02-CTL-SCA-2,CHG-PSD2,OBL-PSD2-02,CTL-SCA-2,CAP-AUTH,High,3,False,2,2,2,2,2026-06-25
GAP-OBL-PSD2-03-CTL-TM-1,CHG-PSD2,OBL-PSD2-03,CTL-TM-1,CAP-FC,High,3,False,1,2,2,2,2026-06-25
GAP-OBL-PSD2-03-CTL-TM-2-EV,CHG-PSD2,OBL-PSD2-03,CTL-TM-2,CAP-FC,Low,0,True,1,2,2,2,2026-06-25
GAP-OBL-PSD2-03-CTL-TM-3,CHG-PSD2,OBL-PSD2-03,CTL-TM-3,CAP-FC,Low,1,False,1,2,2,2,2026-06-25
GAP-OBL-CONSDUTY-01-CTL-CO-2,CHG-CONSDUTY,OBL-CONSDUTY-01,CTL-CO-2,CAP-COND,Low,1,False,1,3,2,2,2026-06-25
GAP-OBL-CONSDUTY-01-CTL-CO-3,CHG-CONSDUTY,OBL-CONSDUTY-01,CTL-CO-3,CAP-COND,Low,1,False,2,5,5,2,2026-06-25
GAP-OBL-CONSDUTY-02-CTL-CO-2-EV,CHG-CONSDUTY,OBL-CONSDUTY-02,CTL-CO-2,CAP-COND,Low,0,True,1,3,2,2,2026-06-25
GAP-OBL-FCAOPRES-01-CTL-OR-1,CHG-FCAOPRES,OBL-FCAOPRES-01,CTL-OR-1,CAP-RES,Medium,2,False,2,4,6,1,2026-06-25
GAP-OBL-FCAOPRES-01-CTL-OR-2,CHG-FCAOPRES,OBL-FCAOPRES-01,CTL-OR-2,CAP-RES,Medium,2,False,1,4,6,1,2026-06-25
GAP-OBL-FCAOPRES-01-CTL-OR-3,CHG-FCAOPRES,OBL-FCAOPRES-01,CTL-OR-3,CAP-RES,High,3,False,2,7,6,1,2026-06-25
GAP-OBL-FCAOPRES-02-CTL-IC-1,CHG-FCAOPRES,OBL-FCAOPRES-02,CTL-IC-1,CAP-INC,Low,1,False,2,5,5,1,2026-06-25
GAP-OBL-FCAOPRES-02-CTL-IC-2,CHG-FCAOPRES,OBL-FCAOPRES-02,CTL-IC-2,CAP-INC,Medium,2,False,1,3,3,1,2026-06-25
GAP-OBL-FCAOPRES-02-CTL-IC-3,CHG-FCAOPRES,OBL-FCAOPRES-02,CTL-IC-3,CAP-INC,Low,1,False,1,3,3,1,2026-06-25
GAP-OBL-SEC-01-CTL-IC-1,CHG-SEC,OBL-SEC-01,CTL-IC-1,CAP-INC,High,2,False,2,5,5,1,2026-06-25
GAP-OBL-SEC-01-CTL-IC-2,CHG-SEC,OBL-SEC-01,CTL-IC-2,CAP-INC,Critical,3,False,1,3,3,1,2026-06-25
GAP-OBL-SEC-01-CTL-IC-3,CHG-SEC,OBL-SEC-01,CTL-IC-3,CAP-INC,High,2,False,1,3,3,1,2026-06-25
GAP-OBL-SEC-02-CTL-CY-1,CHG-SEC,OBL-SEC-02,CTL-CY-1,CAP-CYBER,Low,1,False,2,5,5,2,2026-06-25
GAP-OBL-SEC-02-CTL-CY-2,CHG-SEC,OBL-SEC-02,CTL-CY-2,CAP-CYBER,Low,1,False,1,3,3,2,2026-06-25
GAP-OBL-OCC-01-CTL-MR-1,CHG-OCC,OBL-OCC-01,CTL-MR-1,CAP-MRM,Medium,2,False,1,2,3,2,2026-06-25
GAP-OBL-OCC-01-CTL-MR-2,CHG-OCC,OBL-OCC-01,CTL-MR-2,CAP-MRM,Low,1,False,2,2,3,2,2026-06-25
GAP-OBL-OCC-01-CTL-MR-3,CHG-OCC,OBL-OCC-01,CTL-MR-3,CAP-MRM,High,3,False,1,2,3,2,2026-06-25
GAP-OBL-OCC-03-CTL-DQ-1,CHG-OCC,OBL-OCC-03,CTL-DQ-1,CAP-DQ,Medium,2,False,1,3,2,2,2026-06-25
GAP-OBL-OCC-03-CTL-DQ-2,CHG-OCC,OBL-OCC-03,CTL-DQ-2,CAP-DQ,Low,1,False,1,3,2,2,2026-06-25
GAP-OBL-MASTRM-01-CTL-CY-1,CHG-MASTRM,OBL-MASTRM-01,CTL-CY-1,CAP-CYBER,Medium,2,False,2,5,5,2,2026-06-25
GAP-OBL-MASTRM-01-CTL-CY-2,CHG-MASTRM,OBL-MASTRM-01,CTL-CY-2,CAP-CYBER,Medium,2,False,1,3,3,2,2026-06-25
GAP-OBL-MASTRM-02-CTL-OR-1,CHG-MASTRM,OBL-MASTRM-02,CTL-OR-1,CAP-RES,Medium,2,False,2,4,6,1,2026-06-25
GAP-OBL-MASTRM-02-CTL-OR-2,CHG-MASTRM,OBL-MASTRM-02,CTL-OR-2,CAP-RES,Medium,2,False,1,4,6,1,2026-06-25
GAP-OBL-MASTRM-02-CTL-OR-3,CHG-MASTRM,OBL-MASTRM-02,CTL-OR-3,CAP-RES,High,3,False,2,7,6,1,2026-06-25
GAP-OBL-MASTRM-03-CTL-AC-2,CHG-MASTRM,OBL-MASTRM-03,CTL-AC-2,CAP-AC,Medium,2,False,1,3,3,2,2026-06-25
GAP-OBL-AMLD-01-CTL-CDD-1,CHG-AMLD,OBL-AMLD-01,CTL-CDD-1,CAP-FC,Medium,1,False,1,1,3,2,2026-06-25
GAP-OBL-AMLD-01-CTL-CDD-2,CHG-AMLD,OBL-AMLD-01,CTL-CDD-2,CAP-FC,High,2,False,1,1,3,2,2026-06-25
GAP-OBL-AMLD-01-CTL-CDD-3-EV,CHG-AMLD,OBL-AMLD-01,CTL-CDD-3,CAP-FC,Medium,0,True,2,3,3,2,2026-06-25
GAP-OBL-AMLD-02-CTL-TM-1,CHG-AMLD,OBL-AMLD-02,CTL-TM-1,CAP-FC,Critical,4,False,1,2,2,2,2026-06-25
GAP-OBL-AMLD-02-CTL-TM-2,CHG-AMLD,OBL-AMLD-02,CTL-TM-2,CAP-FC,Medium,1,False,1,2,2,2,2026-06-25
GAP-OBL-AMLD-02-CTL-TM-3,CHG-AMLD,OBL-AMLD-02,CTL-TM-3,CAP-FC,High,2,False,1,2,2,2,2026-06-25
GAP-OBL-AMLD-03-CTL-SAN-1,CHG-AMLD,OBL-AMLD-03,CTL-SAN-1,CAP-SANCT,Critical,3,False,2,2,2,2,2026-06-25
GAP-OBL-AMLD-03-CTL-SAN-2-EV,CHG-AMLD,OBL-AMLD-03,CTL-SAN-2,CAP-SANCT,Medium,0,True,1,2,2,2,2026-06-25
GAP-OBL-AMLD-04-CTL-TM-1,CHG-AMLD,OBL-AMLD-04,CTL-TM-1,CAP-FC,High,3,False,1,2,2,1,2026-06-25
GAP-OBL-AMLD-04-CTL-TM-2-EV,CHG-AMLD,OBL-AMLD-04,CTL-TM-2,CAP-FC,Low,0,True,1,2,2,1,2026-06-25
GAP-OBL-AMLD-04-CTL-TM-3,CHG-AMLD,OBL-AMLD-04,CTL-TM-3,CAP-FC,Low,1,False,1,2,2,1,2026-06-25
