ID,Control_ID,Evidence_Type,Name,Status,Technology_ID,As_Of
EVD-CTL-SCA-2-EV-AUDIT,CTL-SCA-2,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-CO-1-EV-AUDIT,CTL-CO-1,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-CO-2-EV-AUDIT,CTL-CO-2,EV-AUDIT,Fabric Audit Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-CO-3-EV-AUDIT,CTL-CO-3,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-MR-1-EV-MODELCARD,CTL-MR-1,EV-MODELCARD,Model Card,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-MR-1-EV-MONITOR,CTL-MR-1,EV-MONITOR,Model Monitoring Report,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-MR-2-EV-MODELCARD,CTL-MR-2,EV-MODELCARD,Model Card,Stale,TEC-FOUNDRY,2026-07-21
EVD-CTL-MR-2-EV-MONITOR,CTL-MR-2,EV-MONITOR,Model Monitoring Report,Present,TEC-FOUNDRY,2026-07-21
EVD-CTL-MR-3-EV-MODELCARD,CTL-MR-3,EV-MODELCARD,Model Card,Partial,TEC-FOUNDRY,2026-07-21
EVD-CTL-MR-3-EV-MONITOR,CTL-MR-3,EV-MONITOR,Model Monitoring Report,Partial,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-1-EV-AGENTEVAL,CTL-AI-1,EV-AGENTEVAL,Agent Evaluation Report,Stale,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-1-EV-MODELCARD,CTL-AI-1,EV-MODELCARD,Model Card,Present,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-2-EV-AGENTEVAL,CTL-AI-2,EV-AGENTEVAL,Agent Evaluation Report,Present,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-2-EV-MODELCARD,CTL-AI-2,EV-MODELCARD,Model Card,Partial,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-3-EV-AGENTEVAL,CTL-AI-3,EV-AGENTEVAL,Agent Evaluation Report,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-AI-3-EV-MODELCARD,CTL-AI-3,EV-MODELCARD,Model Card,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-TD-1-EV-DQ,CTL-TD-1,EV-DQ,Data Quality Dashboard,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-TD-1-EV-LINEAGE,CTL-TD-1,EV-LINEAGE,Purview Lineage Graph,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-TD-2-EV-DQ,CTL-TD-2,EV-DQ,Data Quality Dashboard,Stale,TEC-FABRIC,2026-07-21
EVD-CTL-TD-2-EV-LINEAGE,CTL-TD-2,EV-LINEAGE,Purview Lineage Graph,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-TR-1-EV-MODELCARD,CTL-TR-1,EV-MODELCARD,Model Card,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-TR-1-EV-AUDIT,CTL-TR-1,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-TR-2-EV-MODELCARD,CTL-TR-2,EV-MODELCARD,Model Card,Missing,TEC-FOUNDRY,2026-07-21
EVD-CTL-TR-2-EV-AUDIT,CTL-TR-2,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-AU-1-EV-AUDIT,CTL-AU-1,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-AU-2-EV-AUDIT,CTL-AU-2,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-RP-1-EV-AUDIT,CTL-RP-1,EV-AUDIT,Fabric Audit Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-RP-1-EV-CAPREC,CTL-RP-1,EV-CAPREC,Capital Calc Reconciliation,Present,TEC-FABRIC,2026-07-21
EVD-CTL-RP-2-EV-AUDIT,CTL-RP-2,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-RP-2-EV-CAPREC,CTL-RP-2,EV-CAPREC,Capital Calc Reconciliation,Stale,TEC-FABRIC,2026-07-21
