Remediation_ID,Gap_ID,Change_ID,Capability_ID,Action_Type,Priority,Estimated_Effort_Days,Target_Unit_ID,As_Of
REM-GAP-OBL-NISTAIRMF-02-CTL-MR-2,GAP-OBL-NISTAIRMF-02-CTL-MR-2,CHG-NISTAIRMF,CAP-MRM,Enhance,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-NISTAIRMF-02-CTL-MR-3,GAP-OBL-NISTAIRMF-02-CTL-MR-3,CHG-NISTAIRMF,CAP-MRM,Enhance,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-NISTAIRMF-03-CTL-TR-1,GAP-OBL-NISTAIRMF-03-CTL-TR-1,CHG-NISTAIRMF,CAP-TRACE,Build,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-NISTAIRMF-03-CTL-TR-2,GAP-OBL-NISTAIRMF-03-CTL-TR-2,CHG-NISTAIRMF,CAP-TRACE,Enhance,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-DORA-01-CTL-OR-1,GAP-OBL-DORA-01-CTL-OR-1,CHG-DORA,CAP-RES,Enhance,High,70,BU-OPS,2026-06-25
REM-GAP-OBL-DORA-01-CTL-OR-2,GAP-OBL-DORA-01-CTL-OR-2,CHG-DORA,CAP-RES,Enhance,High,70,BU-OPS,2026-06-25
REM-GAP-OBL-DORA-01-CTL-OR-3,GAP-OBL-DORA-01-CTL-OR-3,CHG-DORA,CAP-RES,Enhance,Critical,110,BU-OPS,2026-06-25
REM-GAP-OBL-DORA-02-CTL-IC-1,GAP-OBL-DORA-02-CTL-IC-1,CHG-DORA,CAP-INC,Enhance,High,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-02-CTL-IC-2,GAP-OBL-DORA-02-CTL-IC-2,CHG-DORA,CAP-INC,Enhance,Critical,110,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-02-CTL-IC-3,GAP-OBL-DORA-02-CTL-IC-3,CHG-DORA,CAP-INC,Enhance,High,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-03-CTL-IC-1,GAP-OBL-DORA-03-CTL-IC-1,CHG-DORA,CAP-INC,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-03-CTL-IC-2,GAP-OBL-DORA-03-CTL-IC-2,CHG-DORA,CAP-INC,Enhance,High,95,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-03-CTL-IC-3,GAP-OBL-DORA-03-CTL-IC-3,CHG-DORA,CAP-INC,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-03-CTL-CY-1,GAP-OBL-DORA-03-CTL-CY-1,CHG-DORA,CAP-CYBER,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-03-CTL-CY-2,GAP-OBL-DORA-03-CTL-CY-2,CHG-DORA,CAP-CYBER,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-DORA-04-CTL-TP-1,GAP-OBL-DORA-04-CTL-TP-1,CHG-DORA,CAP-TPR,Enhance,Medium,70,BU-RISK,2026-06-25
REM-GAP-OBL-DORA-04-CTL-TP-2,GAP-OBL-DORA-04-CTL-TP-2,CHG-DORA,CAP-TPR,Enhance,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-BASEL-02-CTL-DQ-1,GAP-OBL-BASEL-02-CTL-DQ-1,CHG-BASEL,CAP-DQ,Data,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-BASEL-02-CTL-DQ-2,GAP-OBL-BASEL-02-CTL-DQ-2,CHG-BASEL,CAP-DQ,Data,Low,45,BU-DATA,2026-06-25
REM-GAP-OBL-BASEL-03-CTL-RP-1-EV,GAP-OBL-BASEL-03-CTL-RP-1-EV,CHG-BASEL,CAP-REP,Assurance,Low,15,BU-FIN,2026-06-25
REM-GAP-OBL-BASEL-03-CTL-RP-2-EV,GAP-OBL-BASEL-03-CTL-RP-2-EV,CHG-BASEL,CAP-REP,Assurance,Low,15,BU-FIN,2026-06-25
REM-GAP-OBL-BCBS239-01-CTL-DQ-1,GAP-OBL-BCBS239-01-CTL-DQ-1,CHG-BCBS239,CAP-DQ,Data,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-BCBS239-01-CTL-DQ-2,GAP-OBL-BCBS239-01-CTL-DQ-2,CHG-BCBS239,CAP-DQ,Data,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-BCBS239-02-CTL-LIN-1,GAP-OBL-BCBS239-02-CTL-LIN-1,CHG-BCBS239,CAP-LIN,Data,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-BCBS239-02-CTL-LIN-2,GAP-OBL-BCBS239-02-CTL-LIN-2,CHG-BCBS239,CAP-LIN,Data,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-BCBS239-03-CTL-MD-1,GAP-OBL-BCBS239-03-CTL-MD-1,CHG-BCBS239,CAP-MDM,Data,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-BCBS239-03-CTL-MD-2,GAP-OBL-BCBS239-03-CTL-MD-2,CHG-BCBS239,CAP-MDM,Data,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-GDPR-01-CTL-PR-1,GAP-OBL-GDPR-01-CTL-PR-1,CHG-GDPR,CAP-PII,Data,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-01-CTL-PR-2,GAP-OBL-GDPR-01-CTL-PR-2,CHG-GDPR,CAP-PII,Data,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-01-CTL-PR-3,GAP-OBL-GDPR-01-CTL-PR-3,CHG-GDPR,CAP-PII,Data,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-02-CTL-PR-1-EV,GAP-OBL-GDPR-02-CTL-PR-1-EV,CHG-GDPR,CAP-PII,Assurance,Low,15,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-02-CTL-PR-2,GAP-OBL-GDPR-02-CTL-PR-2,CHG-GDPR,CAP-PII,Data,Medium,70,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-03-CTL-PR-1,GAP-OBL-GDPR-03-CTL-PR-1,CHG-GDPR,CAP-PII,Data,Medium,45,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-03-CTL-PR-2,GAP-OBL-GDPR-03-CTL-PR-2,CHG-GDPR,CAP-PII,Data,Critical,110,BU-RISK,2026-06-25
REM-GAP-OBL-GDPR-03-CTL-PR-3,GAP-OBL-GDPR-03-CTL-PR-3,CHG-GDPR,CAP-PII,Data,Medium,45,BU-RISK,2026-06-25
REM-GAP-OBL-PSD2-01-CTL-SCA-2,GAP-OBL-PSD2-01-CTL-SCA-2,CHG-PSD2,CAP-AUTH,Build,Critical,135,BU-TECH,2026-06-25
REM-GAP-OBL-PSD2-02-CTL-SCA-2,GAP-OBL-PSD2-02-CTL-SCA-2,CHG-PSD2,CAP-AUTH,Build,High,95,BU-TECH,2026-06-25
REM-GAP-OBL-PSD2-03-CTL-TM-1,GAP-OBL-PSD2-03-CTL-TM-1,CHG-PSD2,CAP-FC,Build,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-PSD2-03-CTL-TM-2-EV,GAP-OBL-PSD2-03-CTL-TM-2-EV,CHG-PSD2,CAP-FC,Assurance,Low,15,BU-RISK,2026-06-25
REM-GAP-OBL-PSD2-03-CTL-TM-3,GAP-OBL-PSD2-03-CTL-TM-3,CHG-PSD2,CAP-FC,Enhance,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-CONSDUTY-01-CTL-CO-2,GAP-OBL-CONSDUTY-01-CTL-CO-2,CHG-CONSDUTY,CAP-COND,Policy,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-CONSDUTY-01-CTL-CO-3,GAP-OBL-CONSDUTY-01-CTL-CO-3,CHG-CONSDUTY,CAP-COND,Policy,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-CONSDUTY-02-CTL-CO-2-EV,GAP-OBL-CONSDUTY-02-CTL-CO-2-EV,CHG-CONSDUTY,CAP-COND,Assurance,Low,15,BU-RISK,2026-06-25
REM-GAP-OBL-FCAOPRES-01-CTL-OR-1,GAP-OBL-FCAOPRES-01-CTL-OR-1,CHG-FCAOPRES,CAP-RES,Enhance,Medium,70,BU-OPS,2026-06-25
REM-GAP-OBL-FCAOPRES-01-CTL-OR-2,GAP-OBL-FCAOPRES-01-CTL-OR-2,CHG-FCAOPRES,CAP-RES,Enhance,Medium,70,BU-OPS,2026-06-25
REM-GAP-OBL-FCAOPRES-01-CTL-OR-3,GAP-OBL-FCAOPRES-01-CTL-OR-3,CHG-FCAOPRES,CAP-RES,Enhance,High,95,BU-OPS,2026-06-25
REM-GAP-OBL-FCAOPRES-02-CTL-IC-1,GAP-OBL-FCAOPRES-02-CTL-IC-1,CHG-FCAOPRES,CAP-INC,Enhance,Low,45,BU-TECH,2026-06-25
REM-GAP-OBL-FCAOPRES-02-CTL-IC-2,GAP-OBL-FCAOPRES-02-CTL-IC-2,CHG-FCAOPRES,CAP-INC,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-FCAOPRES-02-CTL-IC-3,GAP-OBL-FCAOPRES-02-CTL-IC-3,CHG-FCAOPRES,CAP-INC,Enhance,Low,45,BU-TECH,2026-06-25
REM-GAP-OBL-SEC-01-CTL-IC-1,GAP-OBL-SEC-01-CTL-IC-1,CHG-SEC,CAP-INC,Enhance,High,70,BU-TECH,2026-06-25
REM-GAP-OBL-SEC-01-CTL-IC-2,GAP-OBL-SEC-01-CTL-IC-2,CHG-SEC,CAP-INC,Enhance,Critical,110,BU-TECH,2026-06-25
REM-GAP-OBL-SEC-01-CTL-IC-3,GAP-OBL-SEC-01-CTL-IC-3,CHG-SEC,CAP-INC,Enhance,High,70,BU-TECH,2026-06-25
REM-GAP-OBL-SEC-02-CTL-CY-1,GAP-OBL-SEC-02-CTL-CY-1,CHG-SEC,CAP-CYBER,Enhance,Low,45,BU-TECH,2026-06-25
REM-GAP-OBL-SEC-02-CTL-CY-2,GAP-OBL-SEC-02-CTL-CY-2,CHG-SEC,CAP-CYBER,Enhance,Low,45,BU-TECH,2026-06-25
REM-GAP-OBL-OCC-01-CTL-MR-1,GAP-OBL-OCC-01-CTL-MR-1,CHG-OCC,CAP-MRM,Enhance,Medium,70,BU-RISK,2026-06-25
REM-GAP-OBL-OCC-01-CTL-MR-2,GAP-OBL-OCC-01-CTL-MR-2,CHG-OCC,CAP-MRM,Enhance,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-OCC-01-CTL-MR-3,GAP-OBL-OCC-01-CTL-MR-3,CHG-OCC,CAP-MRM,Enhance,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-OCC-03-CTL-DQ-1,GAP-OBL-OCC-03-CTL-DQ-1,CHG-OCC,CAP-DQ,Data,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-OCC-03-CTL-DQ-2,GAP-OBL-OCC-03-CTL-DQ-2,CHG-OCC,CAP-DQ,Data,Low,45,BU-DATA,2026-06-25
REM-GAP-OBL-MASTRM-01-CTL-CY-1,GAP-OBL-MASTRM-01-CTL-CY-1,CHG-MASTRM,CAP-CYBER,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-MASTRM-01-CTL-CY-2,GAP-OBL-MASTRM-01-CTL-CY-2,CHG-MASTRM,CAP-CYBER,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-MASTRM-02-CTL-OR-1,GAP-OBL-MASTRM-02-CTL-OR-1,CHG-MASTRM,CAP-RES,Enhance,Medium,70,BU-OPS,2026-06-25
REM-GAP-OBL-MASTRM-02-CTL-OR-2,GAP-OBL-MASTRM-02-CTL-OR-2,CHG-MASTRM,CAP-RES,Enhance,Medium,70,BU-OPS,2026-06-25
REM-GAP-OBL-MASTRM-02-CTL-OR-3,GAP-OBL-MASTRM-02-CTL-OR-3,CHG-MASTRM,CAP-RES,Enhance,High,95,BU-OPS,2026-06-25
REM-GAP-OBL-MASTRM-03-CTL-AC-2,GAP-OBL-MASTRM-03-CTL-AC-2,CHG-MASTRM,CAP-AC,Enhance,Medium,70,BU-TECH,2026-06-25
REM-GAP-OBL-AMLD-01-CTL-CDD-1,GAP-OBL-AMLD-01-CTL-CDD-1,CHG-AMLD,CAP-FC,Enhance,Medium,45,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-01-CTL-CDD-2,GAP-OBL-AMLD-01-CTL-CDD-2,CHG-AMLD,CAP-FC,Enhance,High,70,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-01-CTL-CDD-3-EV,GAP-OBL-AMLD-01-CTL-CDD-3-EV,CHG-AMLD,CAP-FC,Assurance,Medium,15,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-02-CTL-TM-1,GAP-OBL-AMLD-02-CTL-TM-1,CHG-AMLD,CAP-FC,Build,Critical,135,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-02-CTL-TM-2,GAP-OBL-AMLD-02-CTL-TM-2,CHG-AMLD,CAP-FC,Enhance,Medium,45,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-02-CTL-TM-3,GAP-OBL-AMLD-02-CTL-TM-3,CHG-AMLD,CAP-FC,Enhance,High,70,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-03-CTL-SAN-1,GAP-OBL-AMLD-03-CTL-SAN-1,CHG-AMLD,CAP-SANCT,Enhance,Critical,110,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-03-CTL-SAN-2-EV,GAP-OBL-AMLD-03-CTL-SAN-2-EV,CHG-AMLD,CAP-SANCT,Assurance,Medium,15,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-04-CTL-TM-1,GAP-OBL-AMLD-04-CTL-TM-1,CHG-AMLD,CAP-FC,Build,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-04-CTL-TM-2-EV,GAP-OBL-AMLD-04-CTL-TM-2-EV,CHG-AMLD,CAP-FC,Assurance,Low,15,BU-RISK,2026-06-25
REM-GAP-OBL-AMLD-04-CTL-TM-3,GAP-OBL-AMLD-04-CTL-TM-3,CHG-AMLD,CAP-FC,Enhance,Low,45,BU-RISK,2026-06-25
