Score_Key,Change_ID,Scope_Type,Scope_ID,Scope_Name,Scenario,Score,Status,As_Of
Capability|CAP-TRACE|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Overall,BANK,Enterprise,AsIs,54.0,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-DORA|2026-06-25,CHG-DORA,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-DORA|2026-06-25,CHG-DORA,Overall,BANK,Enterprise,PostRemediation,58.9,Partially Compliant,2026-06-25
Regulation|REG-DORA|PostChange|CHG-DORA|2026-06-25,CHG-DORA,Regulation,REG-DORA,REG-DORA,PostChange,36.9,Non-Compliant,2026-06-25
Regulation|REG-DORA|PostRemediation|CHG-DORA|2026-06-25,CHG-DORA,Regulation,REG-DORA,REG-DORA,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
Capability|CAP-TRACE|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-DORA|2026-06-25,CHG-DORA,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Overall,BANK,Enterprise,AsIs,49.7,Non-Compliant,2026-06-25
Overall|BANK|PostChange|CHG-BASEL|2026-06-25,CHG-BASEL,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-BASEL|2026-06-25,CHG-BASEL,Overall,BANK,Enterprise,PostRemediation,53.5,Partially Compliant,2026-06-25
Regulation|REG-BASEL|PostChange|CHG-BASEL|2026-06-25,CHG-BASEL,Regulation,REG-BASEL,REG-BASEL,PostChange,82.8,Compliant,2026-06-25
Regulation|REG-BASEL|PostRemediation|CHG-BASEL|2026-06-25,CHG-BASEL,Regulation,REG-BASEL,REG-BASEL,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
Capability|CAP-TRACE|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-BASEL|2026-06-25,CHG-BASEL,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Overall,BANK,Enterprise,AsIs,53.9,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-BCBS239|2026-06-25,CHG-BCBS239,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-BCBS239|2026-06-25,CHG-BCBS239,Overall,BANK,Enterprise,PostRemediation,56.7,Partially Compliant,2026-06-25
Regulation|REG-BCBS239|PostChange|CHG-BCBS239|2026-06-25,CHG-BCBS239,Regulation,REG-BCBS239,REG-BCBS239,PostChange,26.1,Non-Compliant,2026-06-25
Regulation|REG-BCBS239|PostRemediation|CHG-BCBS239|2026-06-25,CHG-BCBS239,Regulation,REG-BCBS239,REG-BCBS239,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
Capability|CAP-TRACE|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-BCBS239|2026-06-25,CHG-BCBS239,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Overall,BANK,Enterprise,AsIs,50.2,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-GDPR|2026-06-25,CHG-GDPR,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-GDPR|2026-06-25,CHG-GDPR,Overall,BANK,Enterprise,PostRemediation,54.7,Partially Compliant,2026-06-25
Regulation|REG-GDPR|PostChange|CHG-GDPR|2026-06-25,CHG-GDPR,Regulation,REG-GDPR,REG-GDPR,PostChange,72.4,Partially Compliant,2026-06-25
Regulation|REG-GDPR|PostRemediation|CHG-GDPR|2026-06-25,CHG-GDPR,Regulation,REG-GDPR,REG-GDPR,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
Capability|CAP-TRACE|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-GDPR|2026-06-25,CHG-GDPR,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-PSD2|2026-06-25,CHG-PSD2,Overall,BANK,Enterprise,AsIs,52.5,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-PSD2|2026-06-25,CHG-PSD2,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-PSD2|2026-06-25,CHG-PSD2,Overall,BANK,Enterprise,PostRemediation,56.1,Partially Compliant,2026-06-25
Regulation|REG-PSD2|PostChange|CHG-PSD2|2026-06-25,CHG-PSD2,Regulation,REG-PSD2,REG-PSD2,PostChange,48.8,Non-Compliant,2026-06-25
